inertie,altitude,month,zone_climatique,E-pv(kWh/m²),Text(°C),E(kWh/m²),Nref(19°C),DH19(°Ch),DH14(°Ch),Nref(21°C),DH21(°Ch),Tefs(°C),Textmoy_clim(°C)Tcons=26°C,Textmoy_clim(°C)Tcons=28°C,E_fr(kWh/m²)Tcons=26°C,E_fr(kWh/m²)Tcons=28°C,Nref(26°C),Nref(28°C),DH26(°Ch),DH28(°Ch)
Légère ou Moyenne,400,Janvier,H1a,50.1,2.6,38.36,744,11712.4,8488,744,13200.4,7.8,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Février,H1a,54.7,3.5,37.47,672,9966.8,7038.8,672,11310.8,5.5,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Mars,H1a,123.4,7.7,77.61,738,7922.7,4733.2,741,9402.4,6.9,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Avril,H1a,169.3,10.3,86.79,695,5877.4,2950.5,710,7283.3,9.1,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Mai,H1a,208.2,13.2,53.63,438,2762,1036.8,486,3694.7,11.4,26.8,0,3.17,0,8,0,8.1,0
Légère ou Moyenne,400,Juin,H1a,217.8,0,0,0,0,0,0,0,15.1,28.2,29.2,10.56,5.98,74,19,74.2,22.5
Légère ou Moyenne,400,Juillet,H1a,221.9,0,0,0,0,0,0,0,16.1,28.3,29.7,19.84,9.54,153,33,152.8,57.1
Légère ou Moyenne,400,Août,H1a,173.3,0,0,0,0,0,0,0,17.8,28.4,29.8,20.93,11.27,167,35,166.8,64.2
Légère ou Moyenne,400,Septembre,H1a,163.6,13.6,54.18,402,2264.1,730.2,434,3101.3,15.9,28.2,29.3,6.33,3.18,29,6,28.8,7.6
Légère ou Moyenne,400,Octobre,H1a,88.9,13.8,61.45,644,3645.4,1056,683,4977.9,14.7,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Novembre,H1a,59.1,8.8,43.04,715,6861,3795,720,8298.6,12.5,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Décembre,H1a,43.2,5,34.26,744,9573.3,6705.3,744,11061.3,9.2,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Janvier,H1a,50.1,2.6,38.36,744,11712.4,8488,744,13200.4,7.8,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Février,H1a,54.7,3.5,37.47,672,9966.8,7038.8,672,11310.8,5.5,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Mars,H1a,123.4,7.7,77.61,738,7922.7,4733.2,741,9402.4,6.9,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Avril,H1a,169.3,10.3,86.79,695,5877.4,2950.5,710,7283.3,9.1,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Mai,H1a,208.2,12.8,19.19,172,1069.9,378.9,190,1437,11.4,26.8,0,3.17,0,8,0,8.1,0
Lourde ou Très lourde,400,Juin,H1a,217.8,0,0,0,0,0,0,0,15.1,28.2,29.2,10.56,5.98,74,19,74.2,22.5
Lourde ou Très lourde,400,Juillet,H1a,221.9,0,0,0,0,0,0,0,16.1,28.3,29.7,19.84,9.54,153,33,152.8,57.1
Lourde ou Très lourde,400,Août,H1a,173.3,0,0,0,0,0,0,0,17.8,28.4,29.8,20.93,11.27,167,35,166.8,64.2
Lourde ou Très lourde,400,Septembre,H1a,163.6,12.3,16.11,119,740.6,272.8,120,979.8,15.9,28.2,29.3,6.33,3.18,29,6,28.8,7.6
Lourde ou Très lourde,400,Octobre,H1a,88.9,13.8,61.45,644,3645.4,1056,683,4977.9,14.7,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Novembre,H1a,59.1,8.8,43.04,715,6861,3795,720,8298.6,12.5,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Décembre,H1a,43.2,5,34.26,744,9573.3,6705.3,744,11061.3,9.2,0,0,0,0,0,0,0,0
