area,month,orientation,inclination,c1
H1a,Janvier,Sud,>=75°,1
H1a,Janvier,Sud,75°> >=25°,1.67
H1a,Janvier,Sud,<25°,0.77
H1a,Janvier,Ouest,>=75°,0.43
H1a,Janvier,Ouest,75°> >=25°,0.92
H1a,Janvier,Ouest,<25°,0.64
H1a,Janvier,Nord,>=75°,0.31
H1a,Janvier,Nord,75°> >=25°,0.66
H1a,Janvier,Nord,<25°,0.52
H1a,Janvier,Est,>=75°,0.4
H1a,Janvier,Est,75°> >=25°,0.85
H1a,Janvier,Est,<25°,0.63
H1a,Janvier,Horizontal,,0.62
H1a,Février,Sud,>=75°,1
H1a,Février,Sud,75°> >=25°,1.78
H1a,Février,Sud,<25°,0.89
H1a,Février,Ouest,>=75°,0.47
H1a,Février,Ouest,75°> >=25°,1.02
H1a,Février,Ouest,<25°,0.75
H1a,Février,Nord,>=75°,0.32
H1a,Février,Nord,75°> >=25°,0.67
H1a,Février,Nord,<25°,0.62
H1a,Février,Est,>=75°,0.51
H1a,Février,Est,75°> >=25°,1.07
H1a,Février,Est,<25°,0.76
H1a,Février,Horizontal,,0.74
H1a,Mars,Sud,>=75°,1
H1a,Mars,Sud,75°> >=25°,1.99
H1a,Mars,Sud,<25°,1.12
H1a,Mars,Ouest,>=75°,0.58
H1a,Mars,Ouest,75°> >=25°,1.28
H1a,Mars,Ouest,<25°,0.98
H1a,Mars,Nord,>=75°,0.37
H1a,Mars,Nord,75°> >=25°,0.79
H1a,Mars,Nord,<25°,0.85
H1a,Mars,Est,>=75°,0.63
H1a,Mars,Est,75°> >=25°,1.38
H1a,Mars,Est,<25°,1
H1a,Mars,Horizontal,,0.98
H1a,Avril,Sud,>=75°,1
H1a,Avril,Sud,75°> >=25°,2.39
H1a,Avril,Sud,<25°,1.57
H1a,Avril,Ouest,>=75°,0.79
H1a,Avril,Ouest,75°> >=25°,1.82
H1a,Avril,Ouest,<25°,1.45
H1a,Avril,Nord,>=75°,0.5
H1a,Avril,Nord,75°> >=25°,1.17
H1a,Avril,Nord,<25°,1.34
H1a,Avril,Est,>=75°,0.84
H1a,Avril,Est,75°> >=25°,1.93
H1a,Avril,Est,<25°,1.47
H1a,Avril,Horizontal,,1.45
H1a,Mai,Sud,>=75°,1
H1a,Mai,Sud,75°> >=25°,2.74
H1a,Mai,Sud,<25°,1.97
H1a,Mai,Ouest,>=75°,1.05
H1a,Mai,Ouest,75°> >=25°,2.43
H1a,Mai,Ouest,<25°,1.89
H1a,Mai,Nord,>=75°,0.65
H1a,Mai,Nord,75°> >=25°,1.67
H1a,Mai,Nord,<25°,1.8
H1a,Mai,Est,>=75°,1.01
H1a,Mai,Est,75°> >=25°,2.38
H1a,Mai,Est,<25°,1.88
H1a,Mai,Horizontal,,1.88
H1a,Juin,Sud,>=75°,1
H1a,Juin,Sud,75°> >=25°,2.98
H1a,Juin,Sud,<25°,2.26
H1a,Juin,Ouest,>=75°,1.25
H1a,Juin,Ouest,75°> >=25°,2.88
H1a,Juin,Ouest,<25°,2.22
H1a,Juin,Nord,>=75°,0.75
H1a,Juin,Nord,75°> >=25°,2.06
H1a,Juin,Nord,<25°,2.14
H1a,Juin,Est,>=75°,1.16
H1a,Juin,Est,75°> >=25°,2.71
H1a,Juin,Est,<25°,2.18
H1a,Juin,Horizontal,,2.19
H1a,Juillet,Sud,>=75°,1
H1a,Juillet,Sud,75°> >=25°,2.87
H1a,Juillet,Sud,<25°,2.12
H1a,Juillet,Ouest,>=75°,1.13
H1a,Juillet,Ouest,75°> >=25°,2.62
H1a,Juillet,Ouest,<25°,2.05
H1a,Juillet,Nord,>=75°,0.7
H1a,Juillet,Nord,75°> >=25°,1.87
H1a,Juillet,Nord,<25°,1.98
H1a,Juillet,Est,>=75°,1.14
H1a,Juillet,Est,75°> >=25°,2.64
H1a,Juillet,Est,<25°,2.06
H1a,Juillet,Horizontal,,2.05
H1a,Août,Sud,>=75°,1
H1a,Août,Sud,75°> >=25°,2.52
H1a,Août,Sud,<25°,1.7
H1a,Août,Ouest,>=75°,0.86
H1a,Août,Ouest,75°> >=25°,2.01
H1a,Août,Ouest,<25°,1.6
H1a,Août,Nord,>=75°,0.53
