,2S/P,Upb,Value,type
0,3,3.4,0.78,tp_pre_2001
1,4,3.4,0.68,tp_pre_2001
2,5,3.4,0.6,tp_pre_2001
3,6,3.4,0.54,tp_pre_2001
4,7,3.4,0.49,tp_pre_2001
5,8,3.4,0.45,tp_pre_2001
6,9,3.4,0.42,tp_pre_2001
7,10,3.4,0.39,tp_pre_2001
8,12,3.4,0.35,tp_pre_2001
9,14,3.4,0.31,tp_pre_2001
10,16,3.4,0.28,tp_pre_2001
11,18,3.4,0.26,tp_pre_2001
12,20,3.4,0.24,tp_pre_2001
13,3,1.5,0.56,tp_pre_2001
14,4,1.5,0.51,tp_pre_2001
15,5,1.5,0.46,tp_pre_2001
16,6,1.5,0.43,tp_pre_2001
17,7,1.5,0.39,tp_pre_2001
18,8,1.5,0.37,tp_pre_2001
19,9,1.5,0.34,tp_pre_2001
20,10,1.5,0.32,tp_pre_2001
21,12,1.5,0.29,tp_pre_2001
22,14,1.5,0.26,tp_pre_2001
23,16,1.5,0.24,tp_pre_2001
24,18,1.5,0.22,tp_pre_2001
25,20,1.5,0.21,tp_pre_2001
26,3,0.85,0.43,tp_pre_2001
27,4,0.85,0.4,tp_pre_2001
28,5,0.85,0.38,tp_pre_2001
29,6,0.85,0.35,tp_pre_2001
30,7,0.85,0.33,tp_pre_2001
31,8,0.85,0.31,tp_pre_2001
32,9,0.85,0.29,tp_pre_2001
33,10,0.85,0.28,tp_pre_2001
34,12,0.85,0.25,tp_pre_2001
35,14,0.85,0.23,tp_pre_2001
36,16,0.85,0.21,tp_pre_2001
37,18,0.85,0.2,tp_pre_2001
38,20,0.85,0.18,tp_pre_2001
39,3,0.59,0.35,tp_pre_2001
40,4,0.59,0.33,tp_pre_2001
41,5,0.59,0.32,tp_pre_2001
42,6,0.59,0.3,tp_pre_2001
43,7,0.59,0.28,tp_pre_2001
44,8,0.59,0.27,tp_pre_2001
45,9,0.59,0.26,tp_pre_2001
46,10,0.59,0.24,tp_pre_2001
47,12,0.59,0.22,tp_pre_2001
48,14,0.59,0.2,tp_pre_2001
49,16,0.59,0.19,tp_pre_2001
50,18,0.59,0.18,tp_pre_2001
51,20,0.59,0.17,tp_pre_2001
