month,zone_climatique,Nh
Janvier,H1a,217
Février,H1a,168
Mars,H1a,155
Avril,H1a,90
Mai,H1a,62
Juin,H1a,30
Juillet,H1a,31
Août,H1a,93
Septembre,H1a,120
Octobre,H1a,186
Novembre,H1a,180
Décembre,H1a,168
Total,H1a,1500
Janvier,H1b,186
Février,H1b,168
Mars,H1b,155
Avril,H1b,90
Mai,H1b,62
Juin,H1b,30
Juillet,H1b,31
Août,H1b,93
Septembre,H1b,120
Octobre,H1b,186
Novembre,H1b,180
Décembre,H1b,144
Total,H1b,1445
Janvier,H1c,186
Février,H1c,168
Mars,H1c,155
Avril,H1c,90
Mai,H1c,62
Juin,H1c,30
Juillet,H1c,62
Août,H1c,93
Septembre,H1c,120
Octobre,H1c,186
Novembre,H1c,180
Décembre,H1c,144
Total,H1c,1476
Janvier,H2a,217
Février,H2a,168
Mars,H2a,155
Avril,H2a,90
Mai,H2a,62
Juin,H2a,30
Juillet,H2a,31
Août,H2a,93
Septembre,H2a,120
Octobre,H2a,186
Novembre,H2a,180
Décembre,H2a,168
Total,H2a,1500
Janvier,H2b,217
Février,H2b,168
Mars,H2b,155
Avril,H2b,90
Mai,H2b,62
Juin,H2b,30
Juillet,H2b,62
Août,H2b,93
Septembre,H2b,120
Octobre,H2b,186
Novembre,H2b,180
Décembre,H2b,168
Total,H2b,1531
Janvier,H2c,186
Février,H2c,168
Mars,H2c,155
Avril,H2c,120
Mai,H2c,62
Juin,H2c,60
Juillet,H2c,62
Août,H2c,93
Septembre,H2c,150
Octobre,H2c,186
Novembre,H2c,180
Décembre,H2c,144
Total,H2c,1566
Janvier,H2d,186
Février,H2d,168
Mars,H2d,155
Avril,H2d,120
Mai,H2d,62
Juin,H2d,60
Juillet,H2d,62
Août,H2d,93
Septembre,H2d,150
Octobre,H2d,186
Novembre,H2d,180
Décembre,H2d,144
Total,H2d,1566
Janvier,H3,186
Février,H3,168
Mars,H3,155
Avril,H3,120
Mai,H3,62
Juin,H3,60
Juillet,H3,62
Août,H3,93
Septembre,H3,120
Octobre,H3,186
Novembre,H3,150
Décembre,H3,144
Total,H3,1506
